"spikes","spots","poisonous"
0.924153842730448,0.751492989948019,1
0.493816672358662,0.89221805264242,0
0.472549148602411,0.939246112015098,0
0.939089519670233,0.924370069988072,0
0.88150665583089,0.410187010653317,1
0.257975726621225,0.261853957083076,1
0.753275363706052,0.86863770801574,1
0.487168502761051,0.779330035438761,0
0.291908881394193,0.0568948299624026,1
0.239312942139804,0.264692099764943,0
0.413350837538019,0.0284537430852652,0
0.118943059816957,0.810680171707645,0
0.471898878691718,0.223555599106476,1
0.0148083583917469,0.259967209771276,1
0.56402684841305,0.108668189495802,0
0.74538419675082,0.515673933550715,1
0.632076059002429,0.583996964851394,1
0.151488580042496,0.309685301966965,0
0.564346808474511,0.0448393712285906,0
0.496053298935294,0.869442269438878,1
0.662121318979189,0.207687591435388,1
0.391691157128662,0.497899877373129,1
0.37673307210207,0.743469529086724,0
0.535392330028117,0.0295777313876897,1
0.112488099141046,0.404492325382307,0
0.473982569994405,0.837511199759319,0
0.0898836797568947,0.97371774027124,0
0.479578742291778,0.0456452730577439,0
0.787115028360859,0.0861266956198961,1
0.447459385264665,0.945169957587495,0
0.380672926316038,0.545837651006877,1
0.227982246782631,0.3195322426036,1
0.0184853079263121,0.84900655481033,0
0.479510854464024,0.991251245141029,0
0.751633626641706,0.557399754645303,0
0.598731542471796,0.825700829504058,0
0.0736777305137366,0.683791360352188,1
0.733841911889613,0.878003159537911,0
0.954982286086306,0.340181214269251,1
0.889919993001968,0.0738576075527817,0
0.794061346910894,0.936954631702974,1
0.618210153188556,0.00182909867726266,1
0.67233415832743,0.597393520874903,1
0.318406357662752,0.706370166037232,1
0.855936894658953,0.165112641407177,0
0.774609325220808,0.392912855371833,1
0.795331400353462,0.395952433114871,0
0.854961223201826,0.468662733444944,1
0.480008114594966,0.982087117619812,0
0.0784378054086119,0.828962007770315,1
0.0679700628388673,0.708304480649531,0
0.980732788098976,0.519130143336952,1
0.102589091053233,0.922414914239198,0
0.0453513329848647,0.314704239368439,1
0.128323887707666,0.140563905704767,0
0.212684355443344,0.871169897494838,1
0.584431800292805,0.383659966522828,1
0.53733312827535,0.136316122720018,0
0.701167354825884,0.0284827565774322,1
0.0147459045983851,0.270809737266973,1
0.334299386013299,0.0514253140427172,1
0.615860916208476,0.34765168139711,1
0.752630406059325,0.814634291222319,1
0.376083603361621,0.327377695124596,0
0.229510123841465,0.949013656238094,0
0.965830005705357,0.375117988791317,1
0.0920223493594676,0.83358957991004,1
0.615195957012475,0.657325841253623,0
0.624416238162667,0.00583831616677344,1
0.50013318634592,0.0256309972610325,1
0.175175887765363,0.297675957204774,1
0.0561672749463469,0.375364063074812,1
0.40737609914504,0.528928165324032,1
0.768290600040928,0.142659984761849,1
0.983627657638863,0.175115816295147,0
0.0883438382297754,0.789776023011655,1
0.102743146941066,0.987469856860116,0
0.940784145379439,0.788275517057627,0
0.568443522788584,0.426793361082673,1
0.329655473586172,0.854235591366887,1
0.266491026151925,0.808645544340834,0
0.918276566080749,0.448338074609637,1
0.438938115024939,0.984370413701981,1
0.844202827429399,0.116734075825661,1
0.868995092343539,0.244580118684098,1
0.296939081745222,0.856435289373621,1
0.199693846516311,0.764109059004113,0
0.738633531378582,0.405762553913519,0
0.00538403750397265,0.921943988883868,0
0.373668866930529,0.89257301716134,1
0.702584833372384,0.0846633708570153,0
0.116622464032844,0.313701791223139,1
0.660274257184938,0.763021851424128,1
0.837778568966314,0.196445340057835,1
0.613561276113614,0.235753927845508,0
0.834799199830741,0.963656969368458,0
0.830254391301423,0.516016237437725,1
0.55824453686364,0.638381265569478,1
0.104735694592819,0.242828145856038,0
0.425456856610253,0.599592256825417,0
